#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Apr 19 16:50:34 EDT 2019,94,94,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest0+ DelEdgeTest1+ DelEdgeTest2+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0+ NumNodeTest1+ , ,EfficiencyTest1- , ,
20,Sun Apr 21 21:09:59 EDT 2019,94,63,Assignment5Suite,AddEdgeTest0+ AddEdgeTest1+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest0+ DelEdgeTest1+ DelEdgeTest2+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0+ NumNodeTest1+ , ,EfficiencyTest1 , ,
21,Wed Apr 24 15:56:48 EDT 2019,0,-94,Assignment5Suite, , ,AddEdgeTest0- AddEdgeTest1- AddEdgeTest2- AddEdgeTest3- AddEdgeTest4- AddNodeTest0- AddNodeTest1- AddNodeTest2- DelEdgeTest0- DelEdgeTest1- DelEdgeTest2- DelNodeTest0- DelNodeTest1- DelNodeTest2- EfficiencyTest1 NumEdgeTest0- NumEdgeTest1- NumNodeTest0- NumNodeTest1- , ,
22,Wed Apr 24 16:07:01 EDT 2019,0,0,Assignment5Suite, , ,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 EfficiencyTest1 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,
23,Wed Apr 24 16:08:00 EDT 2019,73,73,Assignment5Suite,AddEdgeTest0+ AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4+ AddNodeTest0+ AddNodeTest1+ AddNodeTest2+ DelEdgeTest1+ DelNodeTest0+ DelNodeTest1+ DelNodeTest2+ NumEdgeTest0+ NumNodeTest0+ NumNodeTest1+ , ,AddEdgeTest1 DelEdgeTest0 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 , ,
24,Wed Apr 24 16:10:25 EDT 2019,68,-5,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest1 AddNodeTest1- DelEdgeTest0 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 , ,
25,Wed Apr 24 16:11:06 EDT 2019,57,-11,Assignment5Suite,AddEdgeTest0 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest2 DelEdgeTest1 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 , ,AddEdgeTest1 AddNodeTest1 DelEdgeTest0 DelEdgeTest2 EfficiencyTest1 NumEdgeTest1 NumNodeTest0- NumNodeTest1- , ,
26,Wed Apr 24 16:14:57 EDT 2019,84,27,Assignment5Suite,AddEdgeTest0 AddEdgeTest1+ AddEdgeTest4 AddNodeTest0 AddNodeTest1+ AddNodeTest2 DelEdgeTest0+ DelEdgeTest1 DelEdgeTest2+ DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1+ NumNodeTest0+ NumNodeTest1+ , ,AddEdgeTest2- AddEdgeTest3- EfficiencyTest1 , ,
27,Wed Apr 24 16:15:14 EDT 2019,84,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,AddEdgeTest2 AddEdgeTest3 EfficiencyTest1 , ,
28,Wed Apr 24 16:16:53 EDT 2019,84,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2+ AddEdgeTest3+ AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumNodeTest0 NumNodeTest1 , ,EfficiencyTest1 NumEdgeTest0- NumEdgeTest1- , ,
29,Wed Apr 24 16:17:12 EDT 2019,94,10,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0+ NumEdgeTest1+ NumNodeTest0 NumNodeTest1 , ,EfficiencyTest1 , ,
30,Wed Apr 24 16:17:35 EDT 2019,94,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,EfficiencyTest1 , ,
31,Wed Apr 24 16:22:21 EDT 2019,94,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,EfficiencyTest1 , ,
32,Wed Apr 24 20:15:13 EDT 2019,94,0,Assignment5Suite,AddEdgeTest0 AddEdgeTest1 AddEdgeTest2 AddEdgeTest3 AddEdgeTest4 AddNodeTest0 AddNodeTest1 AddNodeTest2 DelEdgeTest0 DelEdgeTest1 DelEdgeTest2 DelNodeTest0 DelNodeTest1 DelNodeTest2 NumEdgeTest0 NumEdgeTest1 NumNodeTest0 NumNodeTest1 , ,EfficiencyTest1 , ,
33,Wed Apr 24 20:15:56 EDT 2019,85,-172,Assignment5Suite,ShortestPathTest0+ ShortestPathTest1+ ShortestPathTest2+ ShortestPathTest3+ ShortestPathTest4+ ShortestPathTest5+ , ,EfficiencyTest1 , ,
34,Fri Apr 26 14:56:33 EDT 2019,85,0,Assignment5Suite,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,EfficiencyTest1 , ,
35,Fri Apr 26 14:59:35 EDT 2019,85,0,Assignment5Suite,ShortestPathTest0 ShortestPathTest1 ShortestPathTest2 ShortestPathTest3 ShortestPathTest4 ShortestPathTest5 , ,EfficiencyTest1 , ,
